Place,Area
Wickham - Carrington - Tighes Hill,3.5517
Ballina,36.1299
Ballina Region,406.5487
Bangalow,186.5293
Brunswick Heads - Ocean Shores,54.4454
Byron Bay,39.7772
Evans Head,543.5362
Lennox Head - Skennars Head,37.8459
Mullumbimby,268.0751
Casino,138.9581
Casino Region,3950.1024
Goonellabah,25.2269
Kyogle,1979.7593
Lismore,63.3098
Lismore Region,1233.2421
Kingscliff - Fingal Head,38.4355
Murwillumbah,24.2868
Murwillumbah Region,908.2603
Pottsville,189.4635
Tweed Heads,100.2868
Banora Point,9.4424
Terranora - North Tumblegum,29.0247
Tweed Heads South,8.4562
Griffith (NSW),56.333
Griffith Region,23020.2043
Leeton,373.8747
Narrandera,5409.2765
Tumbarumba,4520.7134
Tumut,40.3087
Tumut Region,4613.7424
Cootamundra,1656.1223
Gundagai,2362.5241
Junee,1970.8746
Temora,3434.262
Wagga Wagga - East,54.0429
Wagga Wagga - North,53.6776
Wagga Wagga - South,29.4358
Wagga Wagga - West,54.9391
Wagga Wagga Region,9334.6875
Berry - Kangaroo Valley,537.0884
Callala Bay - Currarong,166.9089
Culburra Beach,76.4017
Ettrema - Sassafras - Budawang,2144.4618
Huskisson - Vincentia,31.0073
North Nowra - Bomaderry,99.7318
Nowra,101.6798
St Georges Basin - Erowal Bay,76.9396
Sussex Inlet - Berrara,39.8389
Tomerong - Wandandian - Woollamia,375.9761
Ulladulla,46.7766
Ulladulla Region,677.6148
Bowral,55.572
Hill Top - Colo Vale,174.3752
Mittagong,73.7567
Moss Vale - Berrima,118.1151
Robertson - Fitzroy Falls,498.4941
Southern Highlands,1409.7013
Baulkham Hills (East),8.3081
Baulkham Hills (West) - Bella Vista,10.9631
Glenhaven,7.2309
West Pennant Hills,7.8291
Castle Hill - Central,4.1512
Castle Hill - East,2.072
Castle Hill - North,6.8149
Castle Hill - South,4.1277
Castle Hill - West,1.6363
Cherrybrook,8.2514
Kellyville,10.641
Dural - Kenthurst - Wisemans Ferry,377.5396
Galston - Laughtondale,191.699
Bilpin - Colo - St Albans,2160.1601
Kurrajong Heights - Ebenezer,331.85
Pitt Town - McGraths Hill,81.5516
Rouse Hill - Beaumont Hills,36.6725
Blacktown (East) - Kings Park,7.9753
Blacktown (North) - Marayong,7.3829
Doonside - Woodcroft,9.9106
Lalor Park - Kings Langley,11.7998
Seven Hills - Toongabbie,11.2033
Blacktown (South),3.3594
Blacktown (West),4.6753
Glenwood,5.1186
Parklea - Kellyville Ridge,9.8132
Riverstone - Marsden Park,79.421
Acacia Gardens,0.9466
Quakers Hill,7.7675
Bidwill - Hebersham - Emerton,6.095
Glendenning - Dean Park,5.1425
Hassall Grove - Plumpton,6.2053
Lethbridge Park - Tregear,11.2672
Mount Druitt - Whalan,8.6855
Prospect Reservoir,30.6917
Rooty Hill - Minchinbury,14.6244
Banksmeadow,3.3683
Botany,3.4308
Mascot - Eastlakes,6.165
Pagewood - Hillsdale - Daceyville,3.1187
Port Botany Industrial,2.8044
Sydney Airport,8.9106
Marrickville,5.8127
Petersham - Stanmore,3.0033
Sydenham - Tempe - St Peters,3.8539
Darlinghurst,0.8569
Erskineville - Alexandria,4.32
Glebe - Forest Lodge,2.3018
Newtown - Camperdown - Darlington,3.2812
Potts Point - Woolloomooloo,1.4591
Pyrmont - Ultimo,1.4913
Redfern - Chippendale,2.1631
Surry Hills,1.3164
Sydney - Haymarket - The Rocks,4.2934
Waterloo - Beaconsfield,3.5809
Bondi - Tamarama - Bronte,2.4963
Bondi Beach - North Bondi,2.4605
Bondi Junction - Waverly,2.5234
Centennial Park,1.9786
Double Bay - Bellevue Hill,4.714
Dover Heights,1.8705
Paddington - Moore Park,3.725
Rose Bay - Vaucluse - Watsons Bay,5.1361
Woollahra,1.2805
Coogee - Clovelly,3.8356
Malabar - La Perouse - Chifley,11.8254
Kensington (NSW),2.6422
Kingsford,2.0141
Maroubra - North,1.8112
Maroubra - South,2.065
Maroubra - West,2.0464
Randwick - North,1.9356
Randwick - South,3.3726
Bass Hill - Georges Hall,8.9161
Chullora,4.0501
Condell Park,10.0036
Greenacre - Mount Lewis,6.9817
Padstow,6.5091
Panania - Milperra - Picnic Point,14.3909
Revesby,5.0925
Yagoona - Birrong,5.5596
Bankstown - North,2.7406
Bankstown - South,4.4232
Belmore - Belfield,4.5135
Canterbury (South) - Campsie,4.7777
Kingsgrove (North) - Earlwood,8.2016
Punchbowl,5.2458
Roselands,3.6461
Lakemba,2.1866
Wiley Park,1.3933
Hurstville,3.6401
Mortdale - Penshurst,6.1164
Narwee - Beverly Hills,3.3909
Oatley - Hurstville Grove,4.3549
Peakhurst - Lugarno,7.4308
Riverwood,2.7733
South Hurstville - Blakehurst,6.2489
Arncliffe - Bardwell Valley,4.9926
Bexley,5.2778
Kingsgrove (South) - Bardwell Park,3.7871
Kogarah,2.2197
Kogarah Bay - Carlton - Allawah,3.5033
Monterey - Brighton-le-Sands - Kyeemagh,3.3799
Rockdale - Banksia,3.576
Sans Souci - Ramsgate,4.6115
Concord - Mortlake - Cabarita,6.3192
Concord West - North Strathfield,5.103
Drummoyne - Rodd Point,3.7047
Five Dock - Abbotsford,4.6202
Balmain,2.5815
Leichhardt - Annandale,4.4723
Lilyfield - Rozelle,3.6039
Ashfield,3.6699
Burwood - Croydon,4.4925
Canterbury (North) - Ashbury,3.0275
Croydon Park - Enfield,3.9711
Dulwich Hill - Lewisham,2.7016
Haberfield - Summer Hill,3.4746
Homebush,3.8434
Strathfield,6.4515
Strathfield South,2.5112
Chatswood (East) - Artarmon,5.0678
Chatswood (West) - Lane Cove North,5.5372
Lane Cove - Greenwich,9.0561
St Leonards - Naremburn,2.761
Willoughby - Castle Cove - Northbridge,10.7518
Asquith - Mount Colah,34.6849
Berowra - Brooklyn - Cowan,81.7548
Normanhurst - Thornleigh - Westleigh,9.9882
Hornsby - East,2.5689
Hornsby - West,6.2898
Waitara - Wahroonga (West),2.1123
Gordon - Killara,11.6714
Lindfield - Roseville,11.8766
Pymble,10.2514
St Ives,17.7776
Turramurra,20.6426
Wahroonga (East) - Warrawee,13.327
Cremorne - Cammeray,3.2391
Crows Nest - Waverton,2.9612
Mosman,8.6503
Neutral Bay - Kirribilli,2.2106
North Sydney - Lavender Bay,1.9144
Balgowlah - Clontarf - Seaforth,7.6104
Manly - Fairlight,6.7351
Avalon - Palm Beach,8.6057
Bayview - Elanora Heights,64.583
Newport - Bilgola,5.7981
Warriewood - Mona Vale,11.6627
Beacon Hill - Narraweena,4.3406
Cromer,7.4915
Dee Why - North Curl Curl,4.0732
Forestville - Killarney Heights,8.9311
Frenchs Forest - Belrose,30.1321
Freshwater - Brookvale,7.1838
Manly Vale - Allambie Heights,9.3541
Narrabeen - Collaroy,7.1622
Terrey Hills - Duffys Forest,70.5438
Camden - Ellis Lane,26.1934
Elderslie - Harrington Park,21.5414
Mount Annan - Currans Hill,26.134
Bradbury - Wedderburn,36.6555
Campbelltown - Woodbine,13.7476
Claymore - Eagle Vale - Raby,22.9168
Holsworthy Military Area,129.823
Ingleburn - Denham Court,30.9189
Leumeah - Minto Heights,23.6461
Macquarie Fields - Glenfield,16.0182
Minto - St Andrews,12.4133
Rosemeadow - Glen Alpine,48.0827
Bargo,67.7705
Douglas Park - Appin,289.9461
Picton - Tahmoor - Buxton,189.9084
The Oaks - Oakdale,322.7354
Blackheath - Megalong Valley,139.2166
Blaxland - Warrimoo - Lapstone,29.6935
Blue Mountains - North,595.0366
